номер_позиції,аксіальна_x,аксіальна_альфа,x_см,y_см,тип,fuel_cell_id,енергія_поділів_еВ_на_джерельну_частинку,похибка_енергії_поділів_еВ,поділи_на_джерельну_частинку,похибка_поділів,потік_на_джерельну_частинку,похибка_потоку,поглинання_на_джерельну_частинку,похибка_поглинання,нейтрони_поділу_на_джерельну_частинку,похибка_нейтронів_поділу,частка_потужності,відносна_потужність,похибка_відносної_потужності_наближено
51,1,5,1.104182389825159,7.012499999999999,звичайний твел UO₂,249,324827.76389924705,4160.115625052665,0.0016775076227132355,2.1509853387425965e-05,0.04106218073398464,0.0002442687568328591,0.0028328473776457475,3.6217835658363995e-05,0.004108253337554829,5.2218991822871845e-05,0.0032993746805606854,1.029404900334934,0.013209497843686142
53,5,3,5.520911949125795,7.012499999999999,звичайний твел UO₂,257,313033.0931611393,3759.1393253171127,0.0016164728091365565,1.943362838906236e-05,0.04105011517692864,0.0002199861246323932,0.0027840459855335803,3.560117627372487e-05,0.003960979448361432,4.724830647496826e-05,0.0031795726121299425,0.9920266549845421,0.011939483782346601
54,7,2,7.729276728776114,7.012499999999999,звичайний твел UO₂,262,314166.9652187067,5269.448822921432,0.0016223903681231223,2.7247399136096077e-05,0.04085111422244613,0.0002351629939192153,0.002751885533621476,4.049976130463678e-05,0.003974966346399973,6.618069533819905e-05,0.003191089696485126,0.9956199853033593,0.016718333728770234
55,9,1,9.937641508426431,7.012499999999999,звичайний твел UO₂,267,334121.7403625857,4537.37030017578,0.0017255833549397975,2.345811410421257e-05,0.04079384018737907,0.0002830249486097909,0.00293833418928035,4.1809314056282844e-05,0.00422544876820188,5.7007637858302125e-05,0.0033937764344525653,1.0588582475492005,0.014404279487065933
56,-10,10,-11.04182389825159,6.375,звичайний твел UO₂,272,347657.2219788788,5266.708714994398,0.0017955565188412456,2.7232891163441702e-05,0.041227164324172186,0.0002541104060113318,0.00304715368013805,4.188273542223395e-05,0.004395076499279056,6.612386383946193e-05,0.003531260449974847,1.1017532603921523,0.016713933416114334
57,-8,9,-8.833459118601272,6.375,звичайний твел UO₂,277,305503.0366835846,3903.0042223600453,0.0015775926906203036,2.0178087189237278e-05,0.04062429978399847,0.00023824990949754488,0.0027316617128998956,3.203808227269348e-05,0.003865358846376014,4.908458251167032e-05,0.0031030875315844818,0.9681633098543583,0.01239321839357994
58,-6,8,-6.625094338950954,6.375,звичайний твел UO₂,282,318053.6842302456,4349.30580908045,0.0016424870627170555,2.2485578667893417e-05,0.04096414388686351,0.00018491765956483032,0.0028226193241256653,3.7368523619049655e-05,0.00402391029169619,5.468390133927302e-05,0.0032305682870562903,1.0079373055615626,0.013806921676047516
60,-2,6,-2.208364779650318,6.375,звичайний твел UO₂,290,300925.1741956465,4002.816883862141,0.001553914652567562,2.0694106576185982e-05,0.04076338894476301,0.00023845870766658339,0.0026777846718483915,3.508014611433158e-05,0.0038085285364536387,5.033636929843687e-05,0.003056588785903135,0.9536557012017781,0.012708224248238299
61,0,5,0.0,6.375,звичайний твел UO₂,295,296834.77778986696,4436.631071370428,0.0015328340220863727,2.2936022950020887e-05,0.040308638242152015,0.00020856648970813757,0.002675687273301356,3.434093254020076e-05,0.003756168317618059,5.57989045566102e-05,0.0030150413819106875,0.9406929111561345,0.014080212677580067
62,2,4,2.208364779650318,6.375,звичайний твел UO₂,300,331925.5189830022,4204.089123843363,0.001714230447780863,2.173904590632247e-05,0.040931356712106494,0.0002401178585610764,0.0028928891119080506,3.5241944047208744e-05,0.004197392881949735,5.276509389620199e-05,0.0033714687439838674,1.0518982481229666,0.013349709537364326
